[(e4,40)]
(a3,17)
(a0,54)
(a9,53)
(a6,70)
(a1,12)
(a8,3)
(a4,74)
(b5,69)
(b9,12)
(b4,87)
(b7,18)
(b1,29)
(b6,53)
(b8,50)
(b0,87)
(c6,72)
(c8,16)
(c9,13)
(c3,9)
(c2,54)
(c4,49)
(c1,65)
(c5,12)
(c0,57)
(d0,28)
(d3,33)
(d1,83)
(d4,67)
(d2,15)
(d7,9)
(d9,77)
(d6,43)
(e0,98)
(e7,53)
(e8,82)
(e4,40)
(e1,38)
(e6,100)
(e2,93)
(f2,85)
(f0,39)
(f8,9)
(f4,65)
(f9,51)
(f3,60)
(f5,94)
(g0,71)
(g3,95)
(g2,4)
(h2,28)
(h6,30)
(h3,15)
(h5,69)
(h4,43)
(h8,68)
(h9,100)
(h1,11)
(i5,49)
(i3,59)
(i1,17)
(i6,96)
(i8,62)
(i4,99)
(i0,97)
(i2,93)
(j6,7)
(j8,81)
(j0,20)
(j3,18)
(j2,36)
(j1,98)
(j7,65)
(j5,60)
(k3,16)
(k7,73)
(k6,43)
(k2,93)
(k1,63)
(k5,86)
(k0,49)
(l8,69)
(l6,96)
(l7,96)
(l1,66)
(l2,6)
(l3,97)
(l9,84)
(m1,70)
(m7,32)
(m3,97)
(m9,66)
(n0,86)
(n2,94)
(n5,88)
(n1,55)
(n7,28)
(n6,84)
(n9,62)
(n8,81)
(n4,18)
(o5,4)
(o0,68)
(o6,51)
(o1,82)
(o4,32)
(o8,93)
(o9,7)
(o2,1)
(p6,80)
(p2,53)
(p3,12)
(p9,56)
(p4,1)
(p8,2)
(p1,30)
(p7,66)
(q6,40)
(q0,65)
(q2,63)
(q1,74)
(q5,83)
(q9,57)
(q3,69)
(q4,28)
(r6,4)
(r7,23)
(r8,73)
(r5,61)
(r4,17)
(s9,37)
(s7,89)
(s0,16)
(s3,70)
(s6,17)
(s4,10)
(t6,33)
(t8,15)
(t4,20)
(t2,57)
(t0,13)
(t9,14)
(t1,6)
(t3,65)
(t5,36)
(t7,0)
(u5,64)
(u7,39)
(u1,57)
(u8,93)
(u2,82)
(u4,5)
(u0,82)
(v7,19)
(v9,57)
(v2,92)
(v4,67)
(v3,69)
(v6,6)
(v8,11)
(v0,85)
(v5,69)
(v1,46)
(w0,95)
(w3,80)
(w4,26)
(w8,25)
(w1,7)
(w2,13)
(w5,85)
(w7,11)
(w9,55)
(x2,49)
(x4,28)
(x6,26)
(x9,35)
(x0,16)
(x1,34)
(x7,75)
(x3,65)
(y5,34)
(y6,60)
(y7,71)
(y9,21)
(y2,47)
(y3,3)
(y4,5)
(y8,65)
(z4,31)
(z1,41)
(z9,35)
(z8,72)
(z2,1)
(z0,27)
(z6,61)
(a3,17)
(a0,54)
(a9,53)
(a6,70)
(a1,12)
(a8,3)
(a4,74)
(b5,69)
(b9,12)
(b4,87)
(b7,18)
(b1,29)
(b6,53)
(b8,50)
(b0,87)
(c6,72)
(c8,16)
(c9,13)
(c3,9)
(c2,54)
(c4,49)
(c1,65)
(c5,12)
(c0,57)
(d0,28)
(d3,33)
(d1,83)
(d4,67)
(d2,15)
(d7,9)
(d9,77)
(d6,43)
(e0,98)
(e7,53)
(e8,82)
(e1,38)
(e6,100)
(e2,93)
(f2,85)
(f0,39)
(f8,9)
(f4,65)
(f9,51)
(f3,60)
(f5,94)
(g3,95)
(g2,4)
(h2,28)
(h6,30)
(h3,15)
(h5,69)
(h4,43)
(h8,68)
(h9,100)
(h1,11)
(i5,46)
(i3,59)
(i1,17)
(i6,96)
(i8,62)
(i4,99)
(i0,97)
(i2,93)
(j6,7)
(j8,81)
(j0,20)
(j3,18)
(j2,45)
(j1,98)
(j7,65)
(j5,60)
(k3,16)
(k7,73)
(k6,43)
(k2,94)
(k1,63)
(k5,86)
(k0,49)
(l8,69)
(l6,76)
(l7,96)
(l1,66)
(l2,6)
(l3,97)
(l9,84)
(m1,70)
(m7,32)
(m3,97)
(m9,66)
(n0,86)
(n2,94)
(n5,88)
(n1,30)
(n7,28)
(n6,84)
(n9,62)
(n8,81)
(n4,18)
(o5,4)
(o0,68)
(o6,51)
(o1,82)
(o4,32)
(o8,93)
(o9,7)
(o2,1)
(p6,80)
(p2,53)
(p3,12)
(p9,56)
(p4,1)
(p8,2)
(p1,30)
(p7,66)
(q6,40)
(q0,65)
(q2,63)
(q1,74)
(q5,83)
(q9,57)
(q3,69)
(q4,28)
(r6,4)
(r7,23)
(r8,73)
(r5,61)
(r4,17)
(s9,37)
(s7,89)
(s0,16)
(s3,70)
(s6,17)
(s4,10)
(t6,33)
(t8,15)
(t4,20)
(t2,57)
(t0,13)
(t9,14)
(t1,6)
(t3,65)
(t5,36)
(t7,0)
(u5,64)
(u7,39)
(u1,57)
(u8,93)
(u2,82)
(u4,5)
(u0,82)
(v7,19)
(v9,21)
(v2,92)
(v4,67)
(v3,69)
(v6,6)
(v8,11)
(v0,85)
(v5,69)
(v1,46)
(w0,95)
(w3,80)
(w4,26)
(w8,25)
(w1,7)
(w2,13)
(w5,85)
(w7,11)
(w9,55)
(x2,49)
(x4,28)
(x6,4)
(x9,35)
(x0,16)
(x1,34)
(x7,75)
(x3,65)
(y5,34)
(y6,60)
(y7,71)
(y9,21)
(y2,47)
(y3,3)
(y4,5)
(y8,65)
(z4,31)
(z1,41)
(z9,35)
(z8,72)
(z0,27)
(z6,61)
Waiting...
[(n2,74)]
[(s2,43)]
[(n2,74)]
[(v3,65)]
[(s6,22)]
[(f6,22)]
[(g2,61)]
[(q9,53)]
(a2,61)
(a3,17)
(a0,57)
(a9,65)
(a8,18)
(a4,74)
(b9,35)
(b2,16)
(b4,35)
(b7,75)
(b1,29)
(b6,27)
(b0,87)
(c7,31)
(c6,11)
(c8,8)
(c3,74)
(c2,54)
(c4,84)
(c1,28)
(c5,12)
(c0,87)
(d3,81)
(d0,28)
(d4,91)
(d7,9)
(d9,43)
(d6,39)
(e4,32)
(e5,30)
(e3,0)
(e0,23)
(e8,82)
(e6,100)
(e2,25)
(f6,22)
(f7,97)
(f3,41)
(f1,69)
(f0,39)
(f8,9)
(f4,90)
(f5,94)
(g8,80)
(g4,41)
(g5,13)
(g9,52)
(g2,61)
(h9,54)
(h1,15)
(h0,40)
(h2,28)
(h6,58)
(h5,69)
(h4,100)
(h8,73)
(i2,27)
(i7,87)
(i5,46)
(i1,17)
(i6,82)
(i8,81)
(i4,14)
(i0,51)
(j6,90)
(j8,94)
(j0,90)
(j3,96)
(j1,98)
(j5,91)
(k0,12)
(k6,34)
(k9,82)
(k4,69)
(k7,93)
(k2,81)
(k1,63)
(k5,82)
(l5,92)
(l4,49)
(l0,20)
(l8,32)
(l1,80)
(l2,6)
(l9,37)
(m4,65)
(m8,8)
(m5,26)
(m1,70)
(m7,32)
(m3,0)
(m9,66)
(n1,15)
(n0,14)
(n7,28)
(n6,84)
(n9,4)
(n8,81)
(n4,68)
(o2,0)
(o3,97)
(o7,13)
(o0,88)
(o6,51)
(o1,90)
(o4,32)
(o9,74)
(p2,53)
(p9,3)
(p4,81)
(p8,2)
(p1,30)
(p7,58)
(q8,90)
(q5,91)
(q6,40)
(q0,75)
(q1,1)
(q9,53)
(q4,28)
(r3,14)
(r8,62)
(r1,57)
(r6,66)
(r7,23)
(r5,63)
(s5,12)
(s1,88)
(s3,70)
(s6,22)
(t1,24)
(t4,20)
(t2,57)
(t0,92)
(t9,14)
(u1,45)
(u3,31)
(u8,50)
(u6,36)
(u9,92)
(u2,82)
(u4,83)
(u0,52)
(v7,19)
(v9,65)
(v4,99)
(v3,65)
(v0,85)
(v5,100)
(v1,46)
(w6,37)
(w0,62)
(w4,74)
(w8,87)
(w1,7)
(w7,18)
(w9,48)
(x6,34)
(x5,65)
(x0,83)
(x2,47)
(x1,88)
(x7,89)
(y5,42)
(y7,7)
(y9,98)
(y2,47)
(y3,50)
(y4,5)
(z4,47)
(z2,26)
(z6,61)
[(n0,14)]
[(t3,2)]
Waiting...
(a7,29)
(a1,78)
(a5,30)
(a8,9)
(a3,32)
(a6,33)
(a0,84)
(a9,49)
(b8,6)
(b0,13)
(b3,4)
(b5,65)
(b4,26)
(b7,75)
(b1,82)
(b6,57)
(c3,12)
(c6,99)
(c2,45)
(c1,70)
(c0,43)
(c9,35)
(c7,31)
(c8,76)
(c4,2)
(c5,59)
(d2,12)
(d5,79)
(d9,75)
(d1,74)
(d0,99)
(d4,80)
(d7,93)
(e9,0)
(e2,96)
(e4,92)
(e5,23)
(e0,35)
(e6,78)
(f0,32)
(f2,11)
(f9,45)
(f6,53)
(f7,93)
(f3,16)
(f1,100)
(f8,9)
(f4,47)
(f5,24)
(g9,7)
(g6,60)
(g8,84)
(g1,11)
(g0,62)
(g3,20)
(g4,21)
(g5,14)
(g2,70)
(h2,67)
(h7,91)
(h5,45)
(h3,49)
(h9,5)
(h0,92)
(h4,100)
(h8,42)
(i8,80)
(i9,4)
(i3,80)
(i2,17)
(i1,26)
(i6,46)
(i4,26)
(i0,51)
(j9,19)
(j7,27)
(j8,66)
(j0,73)
(j3,30)
(j5,91)
(k5,45)
(k0,21)
(k3,73)
(k8,71)
(k1,46)
(k6,14)
(k9,61)
(k4,78)
(l7,78)
(l4,78)
(l6,36)
(l0,36)
(l8,6)
(l2,58)
(l9,28)
(m4,40)
(m2,44)
(m8,44)
(m1,34)
(m0,71)
(m7,90)
(m9,86)
(n3,52)
(n2,16)
(n4,34)
(n1,15)
(n7,17)
(n6,94)
(n9,98)
(n8,40)
(o8,38)
(o2,74)
(o5,91)
(o3,8)
(o0,47)
(o6,22)
(o4,77)
(p6,82)
(p0,51)
(p2,9)
(p3,55)
(p5,1)
(p4,81)
(p1,88)
(q6,86)
(q3,75)
(q7,2)
(q2,56)
(q8,34)
(q0,7)
(q9,88)
(q4,24)
(r0,89)
(r2,46)
(r7,74)
(r1,20)
(r9,91)
(r4,85)
(r8,14)
(r3,75)
(r5,83)
(s3,54)
(s2,86)
(s9,87)
(s7,24)
(s0,3)
(s5,76)
(s1,29)
(s6,87)
(t2,27)
(t8,60)
(t5,85)
(t3,2)
(t1,42)
(t4,90)
(t0,57)
(u8,91)
(u5,38)
(u1,81)
(u3,28)
(u6,87)
(u9,92)
(u2,82)
(u4,81)
(u0,17)
(v9,11)
(v7,70)
(v1,57)
(v5,19)
(v2,39)
(v3,82)
(v0,66)
(w3,25)
(w1,35)
(w5,9)
(w6,37)
(w0,77)
(w7,51)
(x5,91)
(x7,79)
(x4,57)
(x2,96)
(x1,99)
(y0,20)
(y5,53)
(y7,8)
(y9,50)
(y3,12)
(y4,4)
(z2,8)
(z8,23)
(z9,78)
(z4,22)
(z7,90)
[(l6,63)]
[(o3,8)]
