[(g9,89)]
[(r2,29)]
(a3,20)
(a1,86)
(a4,70)
(a9,16)
(a2,74)
(a6,67)
(b6,76)
(b4,63)
(b0,87)
(b1,13)
(b8,59)
(b5,21)
(c2,76)
(c7,83)
(c4,59)
(c1,94)
(c3,43)
(c9,41)
(c6,66)
(c8,34)
(d7,36)
(d4,88)
(d2,61)
(d8,98)
(d3,18)
(d6,17)
(d5,92)
(e4,32)
(e8,32)
(e0,91)
(e9,1)
(e7,99)
(e3,17)
(e5,45)
(e2,69)
(e1,10)
(f1,87)
(f7,84)
(f6,54)
(f0,6)
(f5,26)
(f2,53)
(f9,65)
(f8,7)
(f3,47)
(f4,32)
(g6,38)
(g2,20)
(g0,43)
(g5,67)
(g3,53)
(g4,65)
(g8,56)
(g9,89)
(g1,13)
(g7,52)
(h7,81)
(h9,40)
(h1,3)
(h4,80)
(h0,44)
(h3,5)
(h2,63)
(i3,67)
(i7,64)
(i4,33)
(i5,1)
(i0,84)
(i2,35)
(i8,73)
(i1,8)
(i9,97)
(j8,25)
(j6,25)
(j2,92)
(j0,79)
(j3,53)
(j4,56)
(k3,26)
(k0,38)
(k1,92)
(k5,65)
(k6,51)
(k8,77)
(k9,4)
(l3,36)
(l4,87)
(l6,91)
(l0,63)
(l7,21)
(l8,88)
(l1,8)
(m4,41)
(m1,53)
(m6,68)
(m8,100)
(m2,60)
(m3,78)
(m9,59)
(m0,97)
(n3,49)
(n9,52)
(n7,34)
(n2,49)
(n6,97)
(n0,34)
(n5,39)
(n8,26)
(o2,41)
(o0,78)
(o7,17)
(o8,0)
(o1,22)
(o5,95)
(o9,0)
(o3,11)
(o4,6)
(o6,35)
(p6,51)
(p5,62)
(p2,90)
(p4,60)
(p3,100)
(p0,31)
(p1,60)
(q6,27)
(q9,98)
(q0,81)
(q4,44)
(q8,95)
(q2,10)
(q5,90)
(r2,29)
(r9,32)
(r8,94)
(r7,74)
(r1,86)
(r3,44)
(r6,23)
(r4,16)
(r0,84)
(r5,6)
(s6,42)
(s3,38)
(s1,41)
(s0,73)
(s5,42)
(s9,70)
(s7,91)
(s4,13)
(t4,93)
(t9,77)
(t3,53)
(t6,14)
(u2,98)
(u0,57)
(u7,72)
(u6,76)
(u4,21)
(u3,72)
(u9,87)
(v3,8)
(v0,49)
(v8,100)
(v2,75)
(v5,71)
(w9,82)
(w1,65)
(w4,52)
(w5,36)
(w7,83)
(w8,58)
(w6,55)
(w0,98)
(w2,35)
(x8,95)
(x0,96)
(x5,88)
(x3,54)
(x6,50)
(x2,49)
(y3,9)
(y7,47)
(y1,53)
(y8,93)
(y4,78)
(y2,3)
(z8,71)
(z6,46)
(z1,45)
(z4,89)
(z7,100)
(z5,51)
(z3,72)
(z2,92)
(z0,45)
[(y1,53)]
Waiting...
Waiting...
Waiting...
(a0,38)
(a9,89)
(a3,17)
(a8,92)
(a4,76)
(a6,97)
(a1,88)
(a2,11)
(b8,86)
(b9,92)
(b6,77)
(b0,47)
(b4,56)
(b3,19)
(b1,62)
(b7,19)
(b5,3)
(c4,76)
(c9,93)
(c1,90)
(c5,1)
(c2,33)
(c0,37)
(c7,21)
(d1,16)
(d2,44)
(d6,42)
(d4,33)
(d3,81)
(d0,49)
(d5,85)
(e0,83)
(e4,82)
(e5,40)
(e7,91)
(e2,87)
(e9,24)
(f0,7)
(f3,37)
(f5,67)
(f9,34)
(f7,48)
(f4,26)
(f8,51)
(f1,79)
(f6,95)
(g8,18)
(g5,100)
(g3,62)
(g9,41)
(g1,12)
(g4,22)
(g0,54)
(g2,34)
(g7,2)
(h3,28)
(h6,78)
(h1,85)
(h5,12)
(h9,76)
(h2,12)
(i7,6)
(i8,78)
(i0,19)
(i2,88)
(i5,58)
(i6,5)
(i3,48)
(i1,70)
(j7,24)
(j4,96)
(j2,44)
(j3,21)
(j6,31)
(j9,14)
(j8,22)
(j5,72)
(j1,3)
(j0,86)
(k0,64)
(k9,6)
(k2,34)
(k5,24)
(k8,95)
(k7,97)
(k1,45)
(l5,35)
(l4,27)
(l9,88)
(l1,6)
(l3,1)
(l8,38)
(l2,53)
(l7,42)
(m6,84)
(m5,29)
(m3,50)
(m1,84)
(m0,97)
(m8,3)
(m9,14)
(m2,82)
(m4,63)
(n7,63)
(n9,8)
(n4,0)
(n0,80)
(n5,5)
(n2,0)
(n1,50)
(n6,59)
(o7,4)
(o1,86)
(o5,74)
(o9,24)
(o3,88)
(o4,16)
(o2,71)
(o6,79)
(p8,38)
(p6,21)
(p2,58)
(p1,0)
(p9,37)
(p3,85)
(p7,99)
(q5,93)
(q9,75)
(q1,75)
(q0,94)
(q6,86)
(q7,55)
(q4,65)
(q8,56)
(r2,60)
(r6,9)
(r7,12)
(r8,77)
(r9,26)
(r5,46)
(r3,20)
(r4,0)
(r1,16)
(s1,24)
(s5,26)
(s2,55)
(s8,29)
(s6,1)
(s4,49)
(s9,58)
(t6,39)
(t8,46)
(t0,46)
(t9,12)
(t5,1)
(t4,38)
(t7,58)
(u8,47)
(u6,0)
(u2,55)
(u9,16)
(u1,23)
(u5,18)
(u4,22)
(u0,98)
(v7,78)
(v5,80)
(v4,1)
(v9,21)
(v1,31)
(w7,59)
(w4,44)
(w2,47)
(w9,100)
(w1,38)
(w8,11)
(w6,94)
(w3,28)
(x8,90)
(x5,30)
(x1,51)
(x7,75)
(x9,13)
(x0,25)
(x3,6)
(x6,3)
(x2,4)
(y0,100)
(y5,43)
(y1,57)
(y3,60)
(y9,31)
(y7,92)
(y4,23)
(y8,34)
(z8,61)
(z5,30)
(z9,5)
(z2,25)
(z7,69)
(z0,30)
(z4,73)
(z1,58)
(a0,38)
(a9,89)
(a3,17)
(a8,92)
(a4,76)
(a6,97)
(a1,88)
(a2,11)
(b8,86)
(b9,92)
(b6,77)
(b0,47)
(b4,56)
(b3,19)
(b1,62)
(b7,19)
(b5,3)
(c4,76)
(c9,93)
(c1,90)
(c5,1)
(c2,33)
(c0,37)
(c7,21)
(d1,16)
(d2,44)
(d6,42)
(d4,33)
(d3,81)
(d0,49)
(d5,85)
(e0,83)
(e4,82)
(e5,40)
(e7,91)
(e2,87)
(e9,24)
(f0,7)
(f3,37)
(f5,67)
(f9,34)
(f7,48)
(f4,26)
(f8,51)
(f1,79)
(f6,95)
(g8,18)
(g5,100)
(g3,62)
(g9,41)
(g1,12)
(g4,22)
(g0,54)
(g2,34)
(g7,2)
(h3,28)
(h6,78)
(h1,85)
(h5,12)
(h9,76)
(h2,12)
(i7,6)
(i8,78)
(i0,19)
(i2,88)
(i5,58)
(i6,5)
(i3,48)
(i1,70)
(j7,24)
(j4,96)
(j2,44)
(j3,21)
(j6,31)
(j9,14)
(j8,22)
(j5,72)
(j1,3)
(j0,86)
(k0,64)
(k9,6)
(k2,34)
(k5,24)
(k8,95)
(k7,97)
(k1,45)
(l5,35)
(l4,27)
(l9,88)
(l1,6)
(l3,1)
(l8,38)
(l2,53)
(l7,42)
(m6,84)
(m5,29)
(m3,50)
(m1,84)
(m0,97)
(m8,3)
(m9,14)
(m2,82)
(m4,63)
(n7,63)
(n9,8)
(n4,0)
(n0,80)
(n5,5)
(n2,0)
(n1,50)
(n6,59)
(o7,4)
(o1,86)
(o5,74)
(o9,24)
(o3,88)
(o4,86)
(o2,71)
(o6,79)
(p5,85)
(p8,38)
(p6,21)
(p2,58)
(p1,0)
(p9,37)
(p3,85)
(p7,99)
(q5,93)
(q9,75)
(q1,75)
(q0,94)
(q6,86)
(q7,55)
(q4,65)
(q8,56)
(r2,60)
(r6,9)
(r7,12)
(r8,77)
(r9,26)
(r5,46)
(r3,96)
(r4,0)
(r1,16)
(s1,24)
(s5,26)
(s2,8)
(s8,29)
(s6,1)
(s4,49)
(s9,58)
(t6,39)
(t8,46)
(t0,46)
(t9,12)
(t5,1)
(t4,38)
(t7,58)
(u8,47)
(u6,0)
(u2,55)
(u9,16)
(u1,23)
(u5,18)
(u4,22)
(u0,98)
(v7,78)
(v5,80)
(v4,1)
(v9,21)
(v1,31)
(w7,59)
(w4,44)
(w2,47)
(w9,100)
(w1,38)
(w8,11)
(w6,94)
(w3,28)
(x8,90)
(x5,30)
(x1,51)
(x7,75)
(x9,13)
(x0,25)
(x3,6)
(x6,3)
(x2,4)
(y0,100)
(y5,43)
(y1,57)
(y3,60)
(y9,31)
(y7,92)
(y4,23)
(y8,34)
(z8,61)
(z5,30)
(z9,5)
(z2,25)
(z7,69)
(z0,30)
(z4,73)
(z1,58)
[(t8,46)]
[(g9,41)]
(a7,10)
(a0,38)
(a9,89)
(a3,17)
(a8,92)
(a4,76)
(a6,97)
(a1,88)
(a2,15)
(b8,3)
(b9,92)
(b6,77)
(b0,47)
(b4,56)
(b3,19)
(b1,62)
(b7,19)
(b5,3)
(c4,76)
(c9,93)
(c1,90)
(c5,1)
(c2,33)
(c0,37)
(c7,21)
(d9,30)
(d1,16)
(d2,44)
(d6,42)
(d4,33)
(d3,89)
(d0,49)
(d5,85)
(e0,83)
(e4,82)
(e5,40)
(e7,91)
(e2,87)
(e9,24)
(f0,7)
(f3,37)
(f5,67)
(f9,34)
(f7,48)
(f4,26)
(f8,51)
(f1,51)
(f6,95)
(g8,18)
(g5,100)
(g3,62)
(g9,41)
(g1,12)
(g4,22)
(g0,54)
(g2,34)
(g7,2)
(h8,60)
(h4,93)
(h3,28)
(h6,78)
(h1,85)
(h5,12)
(h9,76)
(h2,12)
(i7,6)
(i8,78)
(i0,19)
(i2,88)
(i5,58)
(i6,5)
(i3,48)
(i1,70)
(j7,24)
(j4,96)
(j2,44)
(j3,21)
(j6,31)
(j9,14)
(j8,22)
(j5,72)
(j1,3)
(j0,86)
(k0,64)
