[(j3,88)]
[(v3,62)]
[(w9,86)]
[(q7,52)]
(a5,84)
(a4,31)
(a8,58)
(a1,10)
(a2,5)
(a7,51)
(a3,99)
(b8,46)
(b7,24)
(b1,28)
(b5,10)
(b2,84)
(b3,40)
(c2,19)
(c4,87)
(c3,43)
(c5,60)
(c9,39)
(c6,46)
(c8,25)
(c7,86)
(c0,67)
(c1,70)
(d0,85)
(d8,14)
(d9,38)
(d6,77)
(d1,96)
(d5,3)
(d2,77)
(d7,31)
(d4,79)
(e4,5)
(e3,38)
(e7,30)
(e5,48)
(e0,22)
(e2,10)
(e8,100)
(f5,72)
(f8,22)
(f0,18)
(f1,60)
(f3,47)
(f2,40)
(f9,82)
(f7,59)
(f4,56)
(g4,34)
(g3,22)
(g0,33)
(g9,8)
(g5,3)
(h8,79)
(h7,93)
(h5,19)
(h9,94)
(h2,85)
(i3,30)
(i7,74)
(i8,91)
(i2,71)
(i6,93)
(i4,89)
(i1,54)
(i9,76)
(i5,50)
(j9,61)
(j1,49)
(j0,94)
(j5,42)
(j7,72)
(j4,67)
(j8,24)
(j2,53)
(k1,8)
(k5,34)
(k8,34)
(k7,78)
(k3,13)
(k0,82)
(k9,29)
(k2,35)
(k4,36)
(l3,21)
(l6,55)
(l1,10)
(l8,88)
(l5,91)
(m4,29)
(m2,40)
(m3,43)
(m6,66)
(m9,16)
(m0,93)
(m8,13)
(m7,49)
(n8,34)
(n6,76)
(n5,56)
(n9,4)
(o8,96)
(o2,5)
(o3,66)
(o6,55)
(o9,53)
(o5,13)
(o0,93)
(p2,83)
(p7,62)
(p5,71)
(p3,47)
(p6,11)
(q7,52)
(q9,79)
(q4,24)
(q2,29)
(q3,98)
(q0,5)
(q5,59)
(r8,19)
(r3,8)
(r1,56)
(r7,47)
(r6,87)
(r5,41)
(r9,77)
(s5,59)
(s0,100)
(s1,69)
(s9,15)
(s3,37)
(s8,10)
(s6,63)
(s4,43)
(t0,91)
(t6,25)
(t1,71)
(t7,95)
(t2,11)
(t8,94)
(t4,37)
(t9,49)
(t5,53)
(u3,88)
(u9,22)
(u1,30)
(u7,90)
(u6,32)
(u5,31)
(u0,53)
(u2,59)
(u8,35)
(v2,70)
(v9,50)
(v1,44)
(v6,98)
(v4,76)
(v0,59)
(v5,65)
(w5,17)
(w4,88)
(w0,23)
(w1,73)
(w2,31)
(w7,3)
(w9,86)
(x0,20)
(x3,23)
(x1,2)
(x6,27)
(x7,43)
(x8,48)
(x4,1)
(x2,91)
(y1,3)
(y0,60)
(y8,0)
(y3,20)
(y6,55)
(y4,96)
(y9,33)
(y7,35)
(y2,7)
(z6,64)
(z0,18)
(z7,43)
(z3,82)
(z9,63)
Waiting...
[(j8,61)]
(a5,9)
(a9,9)
(a4,31)
(a8,58)
(a1,33)
(a7,51)
(a3,99)
(b4,22)
(b8,46)
(b7,55)
(b1,28)
(b5,10)
(b3,13)
(c2,3)
(c4,87)
(c3,43)
(c5,60)
(c9,39)
(c6,46)
(c8,59)
(c7,44)
(c0,100)
(c1,70)
(d8,97)
(d9,38)
(d6,77)
(d1,96)
(d5,39)
(d2,77)
(d7,91)
(d4,77)
(e9,23)
(e3,38)
(e7,55)
(e5,66)
(e0,22)
(e2,10)
(e8,81)
(f8,60)
(f5,72)
(f1,4)
(f3,47)
(f2,12)
(f9,78)
(f7,7)
(f4,99)
(g4,91)
(g2,2)
(g5,69)
(g8,66)
(g3,22)
(g0,33)
(g9,8)
(h6,47)
(h8,72)
(h7,22)
(h5,78)
(h9,80)
(h2,85)
(i2,13)
(i0,40)
(i7,74)
(i8,91)
(i1,54)
(i9,2)
(i5,50)
(j3,81)
(j9,41)
(j1,85)
(j0,79)
(j5,79)
(j7,53)
(j4,71)
(j8,61)
(j2,98)
(k6,72)
(k0,78)
(k1,99)
(k5,34)
(k8,39)
(k7,45)
(k3,13)
(k9,99)
(k4,50)
(l2,71)
(l0,82)
(l4,65)
(l9,83)
(l3,21)
(l6,93)
(l1,10)
(l8,88)
(l5,91)
(m5,100)
(m7,56)
(m4,29)
(m3,75)
(m6,11)
(m9,47)
(m0,93)
(m8,92)
(n1,63)
(n3,78)
(n7,44)
(n8,87)
(n9,99)
(o3,15)
(o4,6)
(o7,15)
(o8,51)
(o2,8)
(o6,10)
(o5,13)
(o0,19)
(p4,22)
(p0,70)
(p1,3)
(p7,10)
(p5,34)
(p3,24)
(q8,92)
(q6,21)
(q7,47)
(q9,12)
(q4,49)
(q2,70)
(q0,5)
(q5,14)
(r0,93)
(r8,19)
(r3,8)
(r1,27)
(r7,71)
(r5,41)
(r9,77)
(s7,91)
(s1,92)
(s5,59)
(s0,96)
(s3,13)
(s6,95)
(s4,43)
(t1,44)
(t8,4)
(t2,69)
(t4,86)
(t9,62)
(t5,26)
(u4,55)
(u5,29)
(u3,88)
(u9,56)
(u1,18)
(u7,68)
(u6,32)
(u0,10)
(u2,60)
(u8,4)
(v7,97)
(v9,46)
(v1,71)
(v6,51)
