Waiting...
[(i6,KVSMISSING)]
[(v5,81)]
[(a5,50)]
[(o6,30)]
[(o6,30)]
[(r1,89)]
Waiting...
[(s5,44)]
Waiting...
[(b4,KVSMISSING)]
[(k1,45)]
(a9,55)
(a3,74)
(a8,12)
(a7,8)
(a4,73)
(a0,74)
(a5,80)
(a6,54)
(a1,18)
(a2,86)
(b0,2)
(b3,54)
(b1,69)
(b7,7)
(b6,4)
(b5,37)
(b2,80)
(b9,29)
(c9,50)
(c2,60)
(c1,15)
(c6,29)
(c0,4)
(c7,60)
(c8,14)
(d7,81)
(d9,63)
(d6,97)
(d4,48)
(d3,81)
(d1,58)
(d0,44)
(d5,98)
(e7,19)
(e8,16)
(e1,75)
(e6,31)
(e9,28)
(e2,16)
(e4,7)
(e5,54)
(f0,39)
(f3,37)
(f2,34)
(f5,28)
(f1,81)
(f7,39)
(f6,42)
(g8,5)
(g6,61)
(g1,71)
(g4,76)
(g0,99)
(g2,5)
(g3,47)
(g7,3)
(h7,42)
(h3,14)
(h8,54)
(h4,60)
(h5,82)
(h6,68)
(h0,42)
(h2,89)
(i9,89)
(i8,74)
(i5,58)
(i0,90)
(i4,87)
(i7,10)
(i6,62)
(i3,2)
(i2,3)
(i1,56)
(j6,89)
(j2,85)
(j9,79)
(j8,21)
(j5,80)
(j1,46)
(j7,79)
(j0,87)
(k5,62)
(k8,76)
(k3,55)
(k0,92)
(k7,65)
(k9,2)
(k1,45)
(k4,54)
(k6,29)
(l4,21)
(l2,48)
(l7,66)
(l9,86)
(l0,14)
(m1,57)
(m7,7)
(m0,6)
(m8,52)
(m6,55)
(m9,29)
(m5,41)
(m2,99)
(m3,8)
(m4,71)
(n5,94)
(n2,47)
(n9,13)
(n3,77)
(n1,2)
(n7,3)
(n6,59)
(n0,86)
(n8,73)
(o6,79)
(o1,86)
(o5,22)
(o8,19)
(o3,19)
(p1,0)
(p8,13)
(p9,76)
(p4,53)
(p3,18)
(p7,49)
(p0,69)
(q9,76)
(q5,51)
(q1,95)
(q6,86)
(q7,73)
(q4,82)
(q8,7)
(r3,19)
(r6,42)
(r4,70)
(r0,18)
(r1,16)
(r7,80)
(s9,53)
(s7,28)
(s8,52)
(s6,34)
(s5,47)
(s3,82)
(s1,92)
(s4,99)
(t9,6)
(t0,92)
(t5,22)
(t3,17)
(t6,1)
(t2,93)
(t1,3)
(t4,79)
(t7,28)
(u6,28)
(u3,32)
(u9,25)
(u1,23)
(u5,87)
(u4,98)
(u0,15)
(u7,78)
(v6,72)
(v3,81)
(v8,62)
(v0,20)
(v4,76)
(v2,62)
(v1,17)
(v5,7)
(w0,31)
(w9,98)
(w1,42)
(w5,69)
(w8,33)
(w6,94)
(w3,10)
(w4,94)
(w7,33)
(x1,41)
(x8,41)
(x0,27)
(x9,67)
(x3,91)
(x5,70)
(x6,32)
(x7,85)
(x2,91)
(y0,23)
(y7,26)
(y1,54)
(y4,95)
(y5,48)
(y8,95)
(z7,2)
(z0,22)
(z3,27)
(z8,26)
(z6,24)
(z4,3)
(z1,92)
[(p8,13)]
