[(c2,89)]
(a6,96)
(b2,8)
(b6,74)
(b1,16)
(b5,76)
(b4,6)
(b3,32)
(c0,35)
(c3,10)
(c5,81)
(c1,85)
(c2,89)
(c4,28)
(d5,99)
(d3,75)
(d1,1)
(d0,93)
(d4,79)
(e6,47)
(e8,24)
(e3,43)
(e7,67)
(e4,58)
(e1,66)
(f8,87)
(f2,32)
(f1,61)
(f4,63)
(g5,67)
(g2,48)
(g8,94)
(g7,44)
(g0,59)
(h5,16)
(h0,53)
(h9,85)
(h6,32)
(h3,10)
(i8,55)
(i9,1)
(i7,52)
(i0,1)
(j4,97)
(j5,54)
(j9,20)
(j1,72)
(j0,41)
(k0,4)
(k6,66)
(k2,90)
(k3,67)
(l4,25)
(l1,6)
(m8,62)
(m1,77)
(m2,43)
(m4,75)
(m6,90)
(m9,36)
(n2,33)
(n5,19)
(p6,71)
(p8,30)
(p0,9)
(p5,52)
(p7,13)
(q5,75)
(q0,80)
(q2,54)
(r1,75)
(r4,74)
(r5,25)
(r8,88)
(s5,24)
(s1,49)
(s6,19)
(s2,25)
(s9,4)
(t4,48)
(t0,11)
(t2,0)
(u2,86)
(u1,10)
(u0,67)
(u3,25)
(v5,62)
(v9,91)
(w8,11)
(w7,9)
(w9,66)
(w0,98)
(x6,87)
(x9,49)
(x2,78)
(x5,91)
(x0,57)
(z0,86)
(z9,24)
[(f1,22)]
(a1,34)
(a4,43)
(a2,52)
(a8,10)
(a7,10)
(a5,71)
(a3,20)
(a9,87)
(a6,54)
(b5,72)
(b2,87)
(b8,8)
(b0,82)
(b6,28)
(b1,75)
(b4,25)
(b3,77)
(c0,48)
(c3,96)
(c5,81)
(c1,85)
(c2,12)
(c4,94)
(d2,40)
(d8,79)
(d9,47)
(d5,99)
(d3,75)
(d4,9)
(e5,63)
(e9,22)
(e6,91)
(e2,21)
(e0,58)
(e3,69)
(e4,31)
(e1,66)
(f2,75)
(f6,67)
(f0,23)
(f8,0)
(f1,22)
(f4,53)
(g6,77)
(g3,39)
(g1,45)
(g4,24)
(g9,22)
(g5,67)
(g2,64)
(g8,63)
(g7,68)
(h1,84)
(h4,93)
(h2,33)
(h7,64)
(h8,0)
(h5,16)
(h0,26)
(h6,32)
(h3,29)
(i3,13)
(i1,1)
(i4,64)
(i9,90)
(i2,74)
(i5,53)
(i7,10)
(i0,1)
(j9,88)
(j6,2)
(j8,100)
(j4,91)
(j1,74)
(j0,65)
(k0,92)
(k8,9)
(k3,32)
(k6,70)
(k4,46)
(k5,60)
(k2,90)
(l2,24)
(l4,12)
(l8,89)
(l1,73)
(l5,0)
(m4,41)
(m3,61)
(m2,34)
(m5,86)
(m8,62)
(m1,77)
(m9,36)
(n8,88)
(n4,59)
(n6,19)
(n1,38)
(n3,28)
(n2,22)
(n5,34)
(o7,4)
(o1,55)
(o0,59)
(o2,49)
(p1,25)
(p2,42)
(p5,12)
(p7,84)
(p9,99)
(p6,24)
(p8,0)
(q6,97)
(q8,90)
(q5,16)
(q2,54)
(r7,29)
(r0,64)
(r9,78)
(r2,93)
(r1,6)
(r4,58)
(r5,68)
(r8,79)
(s7,2)
(s3,44)
(s6,74)
(s4,96)
(s2,80)
(s5,14)
(s1,76)
(s9,19)
(t5,67)
(t7,44)
(t8,54)
(t9,22)
(t6,68)
(t4,47)
(t0,84)
