[(m1,31)]
[(e2,89)]
[(y4,34)]
[(z9,25)]
[(r9,26)]
[(g5,42)]
[(n2,41)]
[(z9,25)]
[(q0,35)]
[(a5,34)]
[(g9,48)]
[(a5,34)]
(a5,34)
(a9,76)
(a4,31)
(a8,58)
(a3,99)
(b9,17)
(b8,57)
(b2,18)
(b4,2)
(b7,55)
(b1,28)
(b5,17)
(b3,13)
(c3,43)
(c5,60)
(c9,38)
(c6,23)
(c8,59)
(c7,9)
(c0,57)
(d1,67)
(d3,13)
(d9,38)
(d6,77)
(d5,39)
(d4,77)
(e3,74)
(e4,7)
(e1,35)
(e9,90)
(e7,23)
(e0,22)
(e8,68)
(f9,93)
(f8,60)
(f5,30)
(f3,47)
(f7,7)
(f4,40)
(g9,48)
(g7,52)
(g4,7)
(g2,72)
(g5,42)
(g8,66)
(g3,33)
(h0,21)
(h6,51)
(h8,68)
(h7,22)
(h5,85)
(h9,11)
(h2,85)
(i2,21)
(i7,31)
(i3,83)
(i6,23)
(i0,54)
(i8,43)
(i1,61)
(i9,79)
(j3,20)
(j9,21)
(j1,97)
(j0,77)
(j5,45)
(j7,53)
(j4,71)
(j8,32)
(j2,98)
(k0,50)
(k1,26)
(k8,39)
(k7,45)
(k9,73)
(k4,64)
(l8,83)
(l0,46)
(l2,6)
(l4,98)
(l9,71)
(l3,21)
(l6,92)
(l1,98)
(l5,91)
(m2,19)
(m6,69)
(m5,33)
(m7,95)
(m4,57)
(m3,75)
(m9,1)
(m0,90)
(n2,41)
(n6,81)
(n0,8)
(n5,80)
(n1,78)
(n3,61)
(n7,29)
(n8,36)
(o9,56)
(o3,15)
(o4,6)
(o8,69)
(o2,70)
(o6,89)
(o0,27)
(p9,45)
(p1,77)
(p7,10)
(p5,63)
(q4,19)
(q1,92)
(q8,92)
(q7,84)
(q9,12)
(q2,11)
(q0,35)
(q5,62)
(r7,87)
(r4,90)
(r1,62)
(r0,32)
(r3,68)
(r5,41)
(r9,26)
(s9,10)
(s7,99)
(s0,96)
(s3,96)
(s6,18)
(s4,43)
(t8,47)
(t0,2)
(t3,28)
(t1,44)
(t2,66)
(t4,86)
(t9,41)
(t5,13)
(u1,83)
(u8,28)
(u7,3)
(u4,51)
(u5,63)
(u3,88)
(u9,28)
(u0,39)
(u2,60)
(v5,81)
(v8,72)
(v1,21)
(v3,91)
(v7,49)
(v9,74)
(v6,51)
(v4,14)
(v0,60)
(w7,75)
(w8,53)
(w6,39)
(w4,88)
(w0,23)
(w2,58)
(w9,86)
(x7,80)
(x1,29)
(x9,59)
(x6,27)
(x4,17)
(x2,98)
(y0,56)
(y6,38)
(y1,31)
(y8,69)
(y3,90)
(y4,34)
(y9,36)
(y2,7)
(z8,28)
(z9,25)
(z4,20)
(z3,23)
(z2,49)
(z0,22)
(z7,82)
[(j0,77)]
[(j9,21)]
[(d1,67)]
Waiting...
[(z9,KVSMISSING)]
(a4,70)
(a9,16)
(a8,91)
(a2,74)
(a6,67)
(a5,21)
(b6,76)
(b4,63)
(b0,87)
(b1,13)
(b9,76)
(b8,59)
(b2,60)
(b7,8)
(b5,21)
(b3,13)
(c7,83)
(c4,59)
(c1,94)
(c3,43)
(c9,41)
(c6,66)
(c8,34)
(d7,36)
(d4,88)
(d2,61)
(d8,6)
(d3,11)
(d6,17)
(d5,40)
(e8,32)
(e0,66)
(e9,17)
(e7,99)
(e3,17)
(e5,90)
(e2,69)
(e1,10)
(f1,87)
(f7,84)
(f6,54)
(f0,27)
(f5,26)
(f2,53)
(f9,65)
(f8,7)
(f3,47)
(f4,32)
(g6,38)
(g2,20)
(g0,43)
(g5,67)
(g3,80)
(g4,100)
(g8,56)
(g9,36)
(g1,13)
(g7,52)
(h9,43)
(h1,3)
(h4,80)
(h0,44)
(h5,86)
(h3,5)
(h6,51)
(h8,58)
(h2,63)
(i7,64)
(i4,33)
(i5,1)
(i0,84)
(i2,35)
(i6,27)
(i8,73)
(i1,8)
(i9,97)
(j8,25)
(j6,25)
(j2,26)
(j0,79)
(j3,33)
(j9,20)
(j1,95)
(j7,45)
(j4,25)
(k0,32)
(k1,92)
(k5,46)
(k6,51)
(k8,77)
(k9,4)
(l6,91)
(l4,32)
(l0,63)
(l7,21)
(l8,88)
(l1,89)
(m1,53)
(m6,68)
(m8,10)
(m2,60)
(m3,78)
(m9,59)
(m0,97)
(n3,2)
(n9,52)
(n7,34)
(n2,49)
(n6,97)
(n0,34)
(n5,37)
(n1,10)
(n8,26)
(o7,17)
(o8,0)
(o1,42)
(o5,95)
(o9,0)
(o3,80)
(o4,6)
(o2,93)
(o6,35)
(p5,94)
(p2,36)
(p4,60)
(p3,100)
(p0,31)
(p9,61)
(p1,45)
(p7,40)
(q6,27)
(q9,98)
(q0,81)
(q4,44)
(q8,76)
(q2,10)
(q5,90)
(r9,53)
(r8,36)
(r7,74)
(r1,86)
(r3,44)
(r6,79)
(r4,16)
(r0,84)
(r5,6)
(s6,42)
(s3,38)
(s1,41)
(s0,73)
(s5,42)
(s9,48)
(s7,91)
(s4,73)
(t3,53)
(t6,97)
(t0,15)
(t5,80)
(u2,98)
(u0,57)
(u7,72)
(u6,76)
(u1,23)
(u4,21)
(u3,51)
(u9,87)
(v9,75)
(v2,75)
(v5,71)
(v4,52)
(w4,52)
(w5,36)
(w7,83)
(w8,58)
(w6,55)
(w0,98)
(w2,36)
(x0,96)
(x9,86)
(x5,88)
(x8,41)
(x3,54)
(x7,71)
(x6,84)
(x2,49)
(y7,41)
(y9,85)
(y0,82)
(y1,2)
(y8,93)
(y3,30)
(y4,78)
(y2,3)
(z4,89)
(z7,100)
(z5,51)
(z3,72)
(z2,92)
(z0,15)
[(m4,KVSMISSING)]
(a4,70)
(a9,16)
(a8,91)
(a2,74)
(a6,67)
(b6,76)
(b4,63)
(b0,87)
(b1,13)
(b8,59)
(b2,60)
(b5,21)
(b3,13)
(c2,76)
(c7,83)
(c4,59)
(c1,94)
(c3,43)
(c9,41)
(c6,66)
(c8,34)
(d7,36)
(d4,88)
(d2,61)
(d8,6)
(d3,11)
(d6,17)
(d5,40)
(e8,32)
(e0,66)
(e9,17)
(e7,99)
(e3,17)
(e5,90)
(e2,69)
(e1,10)
(f1,87)
(f7,84)
(f6,54)
(f0,6)
(f5,26)
(f2,53)
(f9,65)
(f8,7)
(f3,47)
(f4,32)
(g6,38)
(g2,20)
(g0,43)
(g5,67)
(g3,53)
(g4,65)
(g8,56)
(g9,36)
(g1,13)
(g7,52)
(h9,43)
(h1,3)
(h4,80)
(h0,44)
(h5,86)
(h3,5)
(h2,63)
(i7,64)
(i4,33)
(i5,1)
(i0,84)
(i2,35)
(i6,27)
(i8,73)
(i1,8)
(i9,97)
(j8,25)
(j6,25)
(j2,92)
(j0,79)
(j3,33)
(j7,15)
(j4,25)
(k0,32)
(k1,92)
(k5,65)
(k6,51)
(k8,77)
(k9,4)
(l6,91)
(l0,63)
(l7,21)
(l8,88)
(l1,89)
(m1,53)
(m6,68)
(m8,10)
(m2,60)
(m3,78)
(m9,59)
(m0,97)
(n3,2)
(n9,52)
(n7,34)
(n2,49)
(n6,97)
(n0,34)
(n5,37)
(n8,26)
(o7,17)
(o8,0)
(o1,42)
(o5,95)
(o9,0)
(o3,80)
(o4,6)
(o2,93)
(o6,35)
(p5,94)
(p2,36)
(p4,60)
(p3,100)
(p0,31)
(p9,61)
(p1,45)
(p7,40)
(q6,27)
(q9,98)
(q0,81)
(q4,44)
(q8,76)
(q2,10)
(q5,90)
(r9,53)
(r8,36)
(r7,74)
(r1,86)
(r3,44)
(r6,23)
(r4,16)
(r0,84)
(r5,6)
(s6,42)
(s3,38)
(s1,41)
(s0,73)
(s5,42)
(s9,70)
(s7,91)
(s4,73)
(t3,53)
(t6,97)
(u2,98)
(u0,57)
(u7,72)
(u6,76)
(u1,23)
(u4,21)
(u3,51)
(u9,87)
(v2,75)
(v5,71)
(w4,52)
(w5,36)
(w7,83)
(w8,58)
(w6,55)
(w0,98)
(w2,36)
(x0,96)
(x9,86)
(x5,88)
(x3,54)
(x6,84)
(x2,49)
(y7,47)
(y9,85)
(y0,82)
(y1,2)
(y8,93)
(y3,30)
(y4,78)
(y2,3)
(z4,89)
(z7,100)
(z5,51)
(z3,72)
(z2,92)
(z0,15)
[(u6,76)]
[(h5,2)]
[(h5,2)]
[(u3,72)]
[(d1,KVSMISSING)]
[(g2,20)]
[(t4,93)]
[(q0,81)]
[(l9,KVSMISSING)]
Waiting...
