[(i8,66)]
(d4,79)
(e1,66)
(e2,75)
(f8,21)
(g8,78)
(g4,100)
(g1,19)
(g0,81)
(r8,88)
(r0,1)
(r7,85)
(v5,86)
(x5,45)
(x0,30)
(z1,86)
Waiting...
Waiting...
Waiting...
(a1,45)
(a4,56)
(a2,68)
(a5,77)
(a0,4)
(a7,36)
(a3,23)
(a9,88)
(b9,52)
(b5,11)
(b6,87)
(b2,25)
(b4,27)
(b3,63)
(c2,42)
(c5,52)
(c9,15)
(c6,50)
(c3,98)
(c4,85)
(c8,25)
(c7,64)
(c0,93)
(c1,73)
(d0,93)
(d2,10)
(d7,91)
(d1,4)
(d4,100)
(e2,35)
(e3,14)
(e8,87)
(e9,78)
(e1,18)
(e6,69)
(e4,51)
(f1,10)
(f3,23)
(f5,72)
(f0,97)
(f2,4)
(f6,68)
(f9,8)
(f7,90)
(f4,38)
(g3,56)
(g6,92)
(g2,96)
(g0,11)
(g9,96)
(g7,82)
(g1,7)
(g5,47)
(h4,61)
(h3,85)
(h1,7)
(h7,95)
(h6,36)
(h5,74)
(h9,3)
(h2,25)
(h0,22)
(i4,8)
(i8,23)
(i7,6)
(i9,74)
(i6,51)
(i3,11)
(i5,80)
(i2,71)
(j1,78)
(j0,78)
(j9,55)
(j3,20)
(j5,22)
(j7,2)
(j4,98)
(j8,94)
(j2,12)
(j6,98)
(k7,68)
(k3,63)
(k6,56)
(k0,82)
(k9,7)
(k2,39)
(k4,3)
(l6,18)
(l1,29)
(l8,100)
(l3,88)
(l4,92)
(l5,61)
(l9,62)
(l0,31)
(m2,45)
(m9,44)
(m1,66)
(m0,70)
(m8,79)
(m7,88)
(n5,77)
(n7,59)
(n2,4)
(n9,3)
(n4,17)
(n1,30)
(n3,90)
(o8,59)
(o4,78)
(o3,16)
(o6,87)
(o9,60)
(o5,13)
(o7,25)
(o1,75)
(o0,60)
(p5,62)
(p0,8)
(p1,31)
(p4,80)
(p2,29)
(p3,58)
(p8,16)
(p6,83)
(q3,69)
(q1,6)
(q0,43)
(q6,37)
(q5,77)
(q7,4)
(q4,23)
(q8,21)
(r1,83)
(r7,17)
(r6,17)
(r5,31)
(r9,46)
(r0,55)
(r2,71)
(s9,4)
(s0,81)
(s5,88)
(s3,37)
(s2,17)
(s8,10)
(s6,52)
(s7,53)
(s4,32)
(t7,18)
(t4,56)
(t9,52)
(t0,54)
(t5,68)
(u1,100)
(u7,80)
(u4,48)
(u6,15)
(u5,79)
(u0,99)
(u2,97)
(u8,30)
(v3,94)
(v8,16)
(v7,65)
(v9,69)
(v2,3)
(v1,79)
(v6,78)
(v4,76)
(v0,18)
(v5,30)
(w8,72)
(w1,27)
(w7,91)
(w4,67)
(w3,69)
(w6,44)
(w5,46)
(w2,26)
(w9,99)
(x6,75)
(x0,20)
(x7,25)
(x5,78)
(x3,42)
(x8,27)
(x4,8)
(x9,90)
(x2,28)
(y0,50)
(y8,94)
(y3,100)
(y6,55)
(y4,38)
(y9,100)
(y7,59)
(y1,39)
(y2,5)
(z0,6)
(z1,11)
(z4,49)
(z7,16)
(z3,34)
(z6,94)
(z2,7)
(z9,13)
[(x2,28)]
[(a1,80)]
[(y0,26)]
[(o2,37)]
Waiting...
(a5,54)
(a4,61)
(a8,81)
(a1,10)
(a2,5)
(a0,3)
(a7,19)
(a3,84)
(a9,54)
(b8,72)
(b7,52)
(b1,70)
(b9,50)
(b5,10)
(b6,87)
(b2,57)
(b3,63)
(c3,57)
(c2,42)
(c5,4)
(c9,39)
(c6,36)
(c8,25)
(c7,9)
(c0,67)
(c1,70)
(d0,74)
(d1,66)
(d5,97)
(d3,36)
(d8,38)
(d2,77)
(d7,42)
(d4,100)
(e7,30)
(e5,48)
(e0,32)
(e9,24)
(e6,46)
(e2,10)
(e8,100)
(e1,18)
(e4,51)
(f0,61)
(f1,18)
(f3,47)
(f5,31)
(f2,39)
(f6,66)
(f9,52)
(f7,51)
(f4,38)
(g4,34)
(g7,63)
(g8,44)
(g3,18)
(g6,87)
(g2,61)
(g0,86)
(g9,96)
(g5,31)
(h8,24)
(h4,88)
(h3,60)
(h7,87)
(h6,36)
(h5,19)
(h9,3)
(h2,85)
(h0,96)
(i6,31)
(i4,77)
(i1,50)
(i0,72)
(i7,33)
(i9,76)
(i5,36)
(j1,49)
(j0,94)
(j3,40)
(j5,22)
(j7,42)
(j4,86)
(j8,53)
(j2,12)
(j6,45)
(k1,90)
(k5,34)
(k8,15)
(k7,68)
(k3,44)
(k6,8)
(k0,82)
(k9,29)
(k2,50)
(k4,36)
(l7,24)
(l8,88)
(l6,97)
(l4,7)
(l5,61)
(l9,2)
(l0,31)
(m3,94)
(m6,66)
(m9,16)
(m0,93)
(m8,26)
(m7,93)
(n6,7)
(n7,12)
(n5,79)
(n9,4)
(n4,41)
(n1,22)
(o2,53)
(o4,78)
(o3,66)
(o6,55)
(o9,7)
(o5,13)
(o1,45)
(o0,24)
(p2,83)
(p4,10)
(p7,62)
(p5,71)
(p1,50)
(p3,47)
(p8,97)
(p6,11)
(q4,0)
(q2,29)
(q3,69)
(q1,99)
(q0,5)
(q6,79)
(q5,59)
(q7,3)
(r8,19)
(r4,45)
(r3,68)
(r1,83)
(r7,37)
(r6,87)
(r5,94)
(r9,2)
(r0,55)
(r2,34)
(s0,32)
(s1,69)
(s9,94)
(s5,68)
(s3,37)
(s8,10)
(s6,63)
(s4,38)
(t7,6)
(t2,11)
(t8,10)
(t4,37)
(t9,11)
(t0,44)
(t5,53)
(u9,22)
(u1,30)
(u7,90)
(u6,32)
(u5,72)
(u0,53)
(u2,97)
(u8,87)
(v9,62)
(v1,44)
(v3,99)
(v7,56)
(v2,28)
(v6,29)
(v4,76)
(v0,11)
(v5,30)
(w1,9)
(w2,43)
(w8,3)
(w7,3)
(w3,66)
(w5,25)
(w9,61)
(x1,97)
(x6,27)
(x0,96)
(x7,5)
(x3,87)
(x8,99)
(x4,36)
(x9,45)
(x2,91)
(y0,60)
(y8,48)
(y3,29)
(y6,55)
(y4,96)
(y9,33)
(y7,77)
(y2,7)
(z4,87)
(z8,28)
(z1,47)
(z7,16)
(z3,82)
(z6,94)
(z2,75)
(z9,91)
[(m0,93)]
[(z5,KVSMISSING)]
[(j6,45)]
[(o8,KVSMISSING)(p0,KVSMISSING)]
(a5,54)
(a4,61)
(a8,81)
(a1,10)
(a2,5)
(a0,3)
(a7,19)
(a3,84)
(a9,54)
(b8,72)
(b7,52)
(b1,70)
(b9,50)
(b5,10)
(b6,87)
(b2,57)
(b3,63)
(c3,57)
(c2,42)
(c5,4)
(c9,39)
(c6,36)
(c8,25)
(c7,9)
(c0,67)
(c1,70)
(d0,74)
(d1,66)
(d5,97)
(d3,36)
(d8,38)
(d2,77)
(d7,42)
(d4,100)
(e7,30)
(e5,48)
(e0,32)
(e9,24)
(e6,46)
(e2,10)
(e8,100)
(e1,18)
(e4,51)
(f0,61)
(f1,18)
(f3,47)
(f5,31)
(f2,39)
(f6,66)
(f9,52)
(f7,51)
(f4,38)
(g4,34)
(g7,63)
(g8,44)
(g3,18)
(g6,87)
(g2,61)
(g0,86)
(g9,55)
(g5,31)
(h8,24)
(h4,88)
(h3,60)
(h7,87)
(h6,36)
(h5,19)
(h9,94)
(h2,85)
(h0,96)
(i6,31)
(i4,77)
(i1,50)
(i0,72)
(i7,33)
(i9,76)
(i5,36)
(j1,49)
(j0,94)
(j3,40)
(j5,22)
(j7,42)
(j4,86)
(j8,53)
(j2,12)
(j6,45)
(k1,90)
(k5,34)
