[(o8,KVSMISSING)]
Waiting...
[(p7,85)]
(a6,70)
(a0,43)
(a8,98)
(a7,10)
(a3,38)
(a9,21)
(b2,91)
(b1,62)
(b8,62)
(b7,43)
(b4,5)
(b5,94)
(b3,9)
(c6,20)
(c3,98)
(c4,85)
(c8,67)
(c9,58)
(c7,14)
(c0,93)
(c5,76)
(c1,87)
(c2,69)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,29)
(d5,22)
(d4,57)
(e5,75)
(e2,35)
(e3,94)
(e8,63)
(e9,60)
(e1,63)
(e7,70)
(e6,91)
(e4,34)
(f2,41)
(f6,84)
(f9,50)
(f7,12)
(f4,38)
(g2,96)
(g0,37)
(g4,33)
(g9,20)
(g7,16)
(g3,89)
(g6,4)
(g1,28)
(g5,11)
(h8,44)
(h3,4)
(h7,95)
(h6,5)
(h5,81)
(h9,5)
(h2,74)
(h0,93)
(i6,51)
(i3,57)
(i1,95)
(i5,43)
(i4,66)
(i2,33)
(i0,17)
(j1,83)
(j8,1)
(j2,12)
(j9,12)
(j7,64)
(j5,55)
(j6,2)
(k5,22)
(k9,7)
(k2,39)
(k4,3)
(l1,80)
(l3,42)
(l4,30)
(l5,16)
(l9,18)
(l0,62)
(l7,0)
(m9,91)
(m1,50)
(m0,76)
(m5,84)
(m4,78)
(m8,68)
(m7,84)
(m3,51)
(n4,24)
(n9,1)
(n7,26)
(n0,34)
(n2,26)
(n1,62)
(n3,14)
(o4,57)
(o3,80)
(o6,44)
(o9,83)
(o5,11)
(o7,18)
(o1,49)
(o0,19)
(o2,76)
(p3,23)
(p7,85)
(p8,48)
(p4,85)
(p6,19)
(p5,22)
(p1,91)
(q5,26)
(q6,59)
(q3,94)
(q7,4)
(q4,99)
(q8,76)
(q9,48)
(q2,87)
(r3,14)
(r1,39)
(r0,53)
(r9,94)
(r2,0)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,53)
(s9,7)
(t3,95)
(t1,74)
(t8,63)
(t9,22)
(u6,35)
(u5,73)
(u0,99)
(u2,65)
(u9,11)
(u8,87)
(u3,81)
(v7,19)
(v9,3)
(v2,9)
(v1,30)
(v6,10)
(v4,25)
(v0,40)
(v5,30)
(w7,46)
(w5,8)
(w2,26)
(w4,56)
(w9,91)
(x3,42)
(x8,24)
(x6,97)
(x4,18)
(x9,90)
(x2,28)
(y7,3)
(y8,76)
(y5,38)
(y1,62)
(y2,45)
(z0,10)
(z8,18)
(z4,31)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
[(h5,81)]
(a6,70)
(a0,43)
(a8,98)
(a7,10)
(a3,38)
(a9,21)
(b2,91)
(b1,62)
(b8,62)
(b7,43)
(b4,5)
(b5,94)
(b3,9)
(c6,20)
(c3,98)
(c4,85)
(c8,67)
(c9,58)
(c7,14)
(c0,93)
(c5,76)
(c1,87)
(c2,69)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,29)
(d5,22)
(d4,57)
(e5,75)
(e2,35)
(e3,94)
(e8,63)
(e9,60)
(e1,63)
(e7,70)
(e6,91)
(e4,34)
(f2,41)
(f6,84)
(f9,50)
(f7,12)
(f4,38)
(g2,96)
(g0,37)
(g4,33)
(g9,20)
(g7,16)
(g3,89)
(g6,4)
(g1,28)
(g5,11)
(h8,44)
(h3,4)
(h7,95)
(h6,5)
(h5,81)
(h9,5)
(h2,74)
(h0,93)
(i6,51)
(i3,57)
(i1,95)
(i5,43)
(i4,66)
(i2,33)
(i0,17)
(j1,83)
(j8,1)
(j2,12)
(j9,12)
(j7,64)
(j5,55)
(j6,2)
(k5,22)
(k9,7)
(k2,39)
(k4,3)
(l1,80)
(l3,42)
(l4,30)
(l5,16)
(l9,18)
(l0,62)
(l7,0)
(m9,91)
(m1,50)
(m0,76)
(m5,84)
(m4,78)
(m8,68)
(m7,84)
(m3,51)
(n4,24)
(n9,1)
(n7,26)
(n0,34)
(n2,26)
(n1,62)
(n3,14)
(o4,57)
(o3,80)
(o6,44)
(o9,83)
(o5,11)
(o7,18)
(o1,49)
(o0,19)
(o2,76)
(p3,23)
(p7,85)
(p8,48)
(p4,85)
(p6,19)
(p5,22)
(p1,91)
(q5,26)
(q6,59)
(q3,94)
(q7,4)
(q4,99)
(q8,76)
(q9,48)
(q2,87)
(r3,14)
(r1,39)
(r0,53)
(r9,94)
(r2,0)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,53)
(s9,7)
(t3,95)
(t1,74)
(t8,63)
(t9,22)
(u6,35)
(u5,73)
(u0,99)
(u2,65)
(u9,11)
(u8,87)
(u3,81)
(v7,19)
(v9,3)
(v2,9)
(v1,30)
(v6,10)
(v4,25)
(v0,40)
(v5,30)
(w7,46)
(w5,8)
(w2,26)
(w4,56)
(w9,91)
(x3,42)
(x8,24)
(x6,97)
(x4,18)
(x9,90)
(x2,28)
(y7,3)
(y8,76)
(y5,38)
(y1,62)
(y2,45)
(z0,10)
(z8,18)
(z4,31)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
