[(s5,24)]
(a3,20)
(a9,87)
(a6,11)
(b9,48)
(b2,87)
(b8,67)
(b0,82)
(b6,14)
(b1,16)
(b4,100)
(b3,32)
(c3,10)
(c5,81)
(c1,85)
(c2,89)
(c4,28)
(d8,79)
(d9,0)
(d5,99)
(d3,75)
(d1,1)
(d0,27)
(d4,79)
(e0,96)
(e8,24)
(e3,43)
(e7,67)
(e4,85)
(e1,66)
(f0,30)
(f5,18)
(f8,87)
(f2,56)
(f1,22)
(f4,63)
(g1,44)
(g4,24)
(g9,56)
(g5,67)
(g2,48)
(g8,8)
(g7,68)
(g0,59)
(h5,16)
(h0,79)
(h6,32)
(h3,78)
(i5,53)
(i8,55)
(i7,52)
(i0,1)
(j5,7)
(j8,95)
(j4,97)
(j9,20)
(j1,72)
(j0,41)
(k9,6)
(k6,66)
(k2,90)
(k3,67)
(l1,14)
(l5,12)
(l9,35)
(m8,62)
(m1,77)
(m4,16)
(m6,90)
(m9,36)
(n3,63)
(n2,7)
(n5,65)
(o1,20)
(o0,15)
(o2,49)
(p9,99)
(p6,71)
(p8,30)
(p0,9)
(p5,49)
(p7,13)
(q8,73)
(q5,75)
(q2,54)
(r2,93)
(r3,15)
(r1,75)
(r4,74)
(r5,25)
(r8,88)
(s5,24)
(s1,49)
(s9,4)
(t9,61)
(t6,68)
(t4,29)
(t0,11)
(t2,0)
(u2,38)
(u1,10)
(u0,67)
(u3,25)
(v5,13)
(v9,91)
(w6,31)
(w1,0)
(w8,11)
(w7,9)
(w9,66)
(x3,37)
(x7,57)
(x6,87)
(x9,49)
(x2,78)
(x5,91)
(x0,57)
(y9,92)
(y2,16)
(y7,8)
(z4,67)
(z2,72)
(z0,86)
(z9,24)
[(l1,14)]
Waiting...
(a4,90)
(a8,98)
(a7,10)
(a3,38)
(a9,21)
(a6,54)
(b2,78)
(b1,98)
(b8,65)
(b7,4)
(b0,23)
(b4,53)
(b9,12)
(b5,68)
(b3,32)
(c3,11)
(c4,93)
(c8,93)
(c9,6)
(c7,84)
(c0,21)
(c5,40)
(c1,68)
(c2,75)
(d2,3)
(d7,60)
(d6,20)
(d1,29)
(d0,86)
(d5,73)
(d4,91)
(e2,14)
(e9,20)
(e1,63)
(e7,74)
(e6,13)
(e4,48)
(f3,51)
(f6,49)
(f7,12)
(f4,38)
(f8,81)
(g4,69)
(g7,56)
(g3,75)
(g6,4)
(g1,66)
(g5,17)
(g8,30)
(h7,61)
(h4,65)
(h6,45)
(h5,66)
(h9,52)
(h2,33)
(h8,94)
(h0,93)
(h3,2)
(i5,36)
(i3,38)
(i8,63)
(i4,66)
(i9,62)
(i2,1)
(i0,1)
(j2,72)
(j9,87)
(j1,45)
(j7,96)
(j5,88)
(j6,2)
(j0,25)
(k9,4)
(k8,67)
(k7,50)
(k2,93)
(k3,49)
(k4,39)
(l1,88)
(l5,16)
(l9,3)
(l3,59)
(l0,81)
(l6,62)
(l7,90)
(m5,4)
(m4,66)
(m8,68)
(m7,84)
(m3,61)
(m2,34)
(m1,65)
(n5,63)
(n9,80)
(n7,55)
(n0,34)
(n2,35)
(n8,88)
(n6,76)
(n1,58)
(n3,14)
(o6,44)
(o9,4)
(o3,32)
(o5,42)
(o8,50)
(o4,56)
(o7,21)
(o1,49)
(o0,2)
(o2,60)
(p9,12)
(p4,85)
(p7,2)
(p3,72)
(p6,80)
(p5,18)
(p8,77)
(p1,49)
(q3,6)
(q7,99)
(q4,57)
(q8,76)
(q9,38)
(q0,31)
(q2,87)
(r3,68)
(r5,39)
(r4,73)
(r1,39)
(r0,53)
(r8,69)
(r7,24)
(r9,94)
(r2,0)
(s8,56)
(s6,12)
(s0,16)
(s7,56)
(s3,85)
(s4,82)
(s5,52)
(s1,80)
(s9,7)
(t7,10)
(t5,58)
(t2,10)
(t3,95)
(t4,67)
(t1,74)
(t8,73)
(t9,46)
(t6,68)
(u0,27)
(u2,43)
(u9,66)
(u8,85)
(u3,81)
(u1,95)
(u7,84)
(u4,16)
(v2,9)
(v1,30)
(v6,10)
(v4,25)
(v7,99)
(v0,40)
(v8,17)
(v5,30)
(v9,5)
(w2,26)
(w1,96)
(w4,56)
(w6,73)
(w8,59)
(w9,73)
(x3,47)
(x8,100)
(x5,59)
(x6,97)
(x0,42)
(x4,68)
(x9,46)
(x2,97)
(y1,82)
(y4,6)
(y0,60)
(y5,35)
(y6,12)
(y2,28)
(y7,15)
(z4,31)
(z7,16)
(z3,34)
(z6,12)
(z5,85)
(z2,11)
(z9,25)
(a4,90)
(a8,98)
(a7,10)
(a3,38)
(a9,21)
(a6,54)
(b2,78)
(b1,98)
(b8,65)
(b7,43)
(b0,23)
(b4,53)
(b5,68)
(b3,32)
(c3,11)
(c4,93)
(c8,93)
(c9,6)
(c7,84)
(c0,21)
(c5,40)
(c1,68)
(c2,75)
(d2,3)
(d7,60)
(d6,20)
(d1,29)
(d0,86)
(d5,73)
(d4,91)
(e2,14)
(e9,20)
(e1,63)
(e7,74)
(e6,13)
(e4,48)
(f0,69)
(f3,40)
(f6,22)
(f7,12)
(f4,38)
(f8,81)
(g4,69)
(g7,56)
(g3,75)
(g6,4)
(g1,66)
(g5,17)
(h7,61)
(h4,65)
(h6,45)
(h5,66)
(h9,52)
(h2,33)
(h8,94)
(h0,93)
(h3,2)
(i5,36)
(i3,38)
(i8,63)
(i4,66)
(i9,62)
(i2,1)
(i0,1)
(j8,79)
(j2,72)
(j9,87)
(j1,45)
(j7,96)
(j5,88)
(j6,2)
(j0,25)
(k0,42)
(k9,4)
(k8,67)
(k7,50)
(k2,93)
(k3,49)
(k4,39)
(l1,88)
(l5,16)
(l9,3)
(l3,41)
(l0,81)
(l7,90)
(m0,76)
(m5,4)
(m4,66)
(m8,68)
(m7,84)
(m3,61)
(m2,34)
(m1,65)
(n5,63)
(n9,80)
(n7,55)
(n0,34)
(n2,35)
(n8,88)
(n6,76)
(n1,58)
(n3,14)
(o6,44)
(o9,4)
(o3,32)
(o5,42)
(o8,50)
(o4,56)
(o7,21)
(o1,49)
(o0,2)
(o2,60)
(p9,12)
(p4,85)
(p7,2)
(p3,36)
(p6,80)
(p5,18)
(p8,77)
(p1,49)
(q6,45)
(q3,6)
(q7,99)
(q4,57)
(q8,76)
(q9,38)
(q0,31)
(q2,87)
(r3,68)
(r5,39)
(r4,73)
(r1,39)
(r0,53)
(r8,69)
(r7,24)
(r9,94)
(r2,0)
(s8,56)
(s6,12)
(s0,16)
(s7,56)
(s3,85)
(s4,82)
(s1,80)
(s9,7)
(t7,10)
(t5,58)
(t2,75)
(t3,95)
(t4,67)
(t1,74)
(t8,73)
(t9,46)
(t6,68)
(u0,27)
(u2,43)
(u9,66)
(u8,85)
(u3,81)
(u1,95)
(u7,84)
(u4,16)
(v2,9)
(v1,30)
(v6,10)
(v4,25)
(v7,94)
(v0,40)
(v8,17)
(v5,30)
(v9,5)
(w2,26)
(w1,96)
(w4,56)
(w6,73)
(w8,59)
(w9,73)
(x3,47)
(x8,100)
(x5,59)
(x6,97)
(x0,76)
(x4,68)
(x9,46)
(x2,97)
(y1,82)
(y0,60)
(y5,35)
(y6,33)
(y2,28)
(y7,75)
(z4,31)
(z7,16)
(z3,34)
(z6,12)
(z5,85)
(z2,11)
(z9,25)
[(f0,69)]
[(p8,77)]
[(d3,8)]
[(k2,39)]
[(q9,38)]
(a0,43)
